code,id,name
A168,77,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION"
A169,78,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
A170,79,MENINGITIS TUBERCULOSA (G01*)
A171,80,TUBERCULOMA MENINGEO (G07*)
A178,81,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179,82,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)"
A180,83,TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181,84,TUBERCULOSIS DEL APARATO GENITOURINARIO
A182,85,LINFADENOPATIA PERIFERICA TUBERCULOSA
A183,86,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS"
A184,87,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A185,88,TUBERCULOSIS DEL OJO
A186,89,TUBERCULOSIS DEL OIDO
A187,90,TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*)
A188,91,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A190,92,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191,93,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A192,94,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA"
A198,95,OTRAS TUBERCULOSIS MILIARES
A199,96,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION"
A200,97,PESTE BUBONICA
A201,98,PESTE CELULOCUTANEA
A202,99,PESTE NEUMONICA
A203,100,MENINGITIS POR PESTE
A207,101,PESTE SEPTICEMICA
A208,102,OTRAS FORMAS DE PESTE
A209,103,"PESTE, NO ESPECIFICADA"
A210,104,TULAREMIA ULCEROGLANDULAR
A211,105,TULAREMIA OCULOGLANDULAR
A212,106,TULAREMIA PULMONAR
A213,107,TULAREMIA GASTROINTESTINAL
A217,108,TULAREMIA GENERALIZADA
A218,109,OTRAS FORMAS DE TULAREMIA
A219,110,"TULAREMIA , NO ESPECIFICADA"
A220,111,CARBUNCO CUTANEO
A221,112,CARBUNCO PULMONAR
A222,113,CARBUNCO GASTROINTESTINAL
A227,114,CARBUNCO SEPTICEMICO
A228,115,OTRAS FORMAS DE CARBUNCO
A229,116,"CARBUNCO, NO ESPECIFICADO"
A230,117,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231,118,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232,119,BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233,120,BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238,121,OTRAS BRUCELOSIS
A239,122,"BRUCELOSIS, NO ESPECIFICADA"
A240,123,MUERMO
A241,124,MELIOIDOSIS AGUDA Y FULMINANTE
A242,125,MELIOIDOSIS SUBAGUDA Y CRONICA
A243,126,OTRAS MELIOIDOSIS
A244,127,"MELIOIDOSIS , NO ESPECIFICADA"
A250,128,ESPIRILOSIS
A251,129,ESTREPTOBACILOSIS
A259,130,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA"
A260,131,ERISIPELOIDE CUTANEO
A267,132,SEPTICEMIA POR ERYSIPELOTHRIX
A268,133,OTRAS FORMAS DE ERISIPELOIDE
A269,134,"ERISIPELOIDE, NO ESPECIFICADA"
A270,135,LEPTOSPIROSIS ICTEROHEMORRAGICA
A278,136,OTRAS FORMAS DE LEPTOSPIROSIS
A279,137,"LEPTOSPIROSIS, NO ESPECIFICADA"
A280,138,PASTEURELOSIS
A281,139,ENFERMEDAD POR RASGUÑO DE GATO
A282,140,YERSINIOSIS EXTRAINTESTINAL
A288,141,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE"
A289,142,"ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION"
A300,143,LEPRA INDETERMINADA
A301,144,LEPRA TUBERCULOIDE
A302,145,LEPRA TUBERCULOIDE LIMITROFE
A303,146,LEPRA LIMITROFE
A304,147,LEPRA LEPROMATOSA LIMITROFE
A305,148,LEPRA LEPROMATOSA
A308,149,OTRAS FORMAS DE LEPRA
A309,150,"LEPRA, NO ESPECIFICADA"
A310,151,INFECCIONES POR MICOBACTERIAS PULMONARES
A311,152,INFECCION CUTANEA POR MICOBACTERIAS
A318,153,OTRAS INFECCIONES POR MICOBACTERIAS
A319,154,"INFECCION POR MICOBACTERIA, NO ESPECIFICADA"
A320,155,LISTERIOSIS CUTANEA
A321,156,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A327,157,SEPTICEMIA LISTERIANA
A328,158,OTRAS FORMAS DE LISTERIOSIS
A329,159,"LISTERIOSIS, NO ESPECIFICADA"
A33,160,TETANOS NEONATAL
A34,161,TETANOS OBSTETRICO
A35,162,OTROS TETANOS
A360,163,DIFTERIA FARINGEA
A361,164,DIFTERIA NASOFARINGEA
A362,165,DIFTERIA LARINGEA
A363,166,DIFTERIA CUTANEA
A368,167,OTRAS DIFTERIAS
A369,168,"DIFTERIA, NO ESPECIFICADA"
A370,169,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A371,170,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A378,171,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A379,172,"TOS FERINA, NO ESPECIFICADA"
A38,173,ESCARLATINA
A390,174,MENINGITIS MENINGOCOCICA (G01*)
A391,175,SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*)
A392,176,MENINGOCOCEMIA AGUDA
A393,177,MENINGOCOCEMIA CRONICA
A394,178,"MENINGOCOCEMIA, NO ESPECIFICADA"
A395,179,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO
A398,180,OTRAS INFECCIONES MENINGOCOCICAS
A399,181,"INFECCION MENINGOCOCICA, NO ESPECIFICADA"
A400,182,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A"
A401,183,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B"
A402,184,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D"
A403,185,SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
A408,186,OTRAS SEPTICEMIAS ESTREPTOCOCICAS
A409,187,"SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA"
A410,188,SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS
A411,189,SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
A412,190,SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
A413,191,SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE
A414,192,SEPTICEMIA DEBIDA A ANAEROBIOS
A415,193,SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
A418,194,OTRAS SEPTICEMIAS ESPECIFICADAS
A419,195,"SEPTICEMIA, NO ESPECIFICADA"
A420,196,ACTINOMICOSIS PULMONAR
A421,197,ACTINOMICOSIS ABDOMINAL
A422,198,ACTINOMICOSIS CERVICOFACIAL
A427,199,SEPTICEMIA ACTINOMICOTICA
A428,200,OTRAS FORMAS DE ACTINOMICOSIS
A429,201,"ACTINOMICOSIS, SIN OTRA ESPECIFICACION"
A430,202,NOCARDIOSIS PULMONAR
A431,203,NOCARDIOSIS CUTANEA
A438,204,OTRAS FORMAS DE NOCARDIOSIS
A439,205,"NORCARDIOSIS , NO ESPECIFICADA"
A440,206,BARTONELOSIS SISTEMICA
A441,207,BARTONELOSIS CUTANEA Y MUCOCUTANEA
A448,208,OTRAS FORMAS DE BARTONELOSIS
A449,209,"BARTONELOSIS, NO ESPECIFICADA"
A46,210,ERISIPELA
A480,211,GANGRENA GASEOSA
A481,212,ENFERMEDAD DE LOS LEGIONARIOS
A482,213,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC]
A483,214,SINDROME DE CHOQUE TOXICO
A484,215,FIEBRE PURPURICA BRASILEÑA
A488,216,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A490,217,"INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN"
A491,218,"INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION"
A492,219,"INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION"
A493,220,"INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION"
A498,221,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
A499,222,"INFECCION BACTERIANA, NO ESPECIFICADA"
A500,223,"SIFILIS CONGENITA PRECOZ, SINTOMATICA"
A501,224,"SIFILIS CONGENITA PRECOZ, LATENTE"
A502,225,SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN
A503,226,OCULOPATIA SIFILITICA CONGENITA TARDIA
A504,227,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL]
A505,228,"OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA"
A506,229,"SIFILIS CONGENITA TARDIA, LATENTE"
A507,230,"SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION"
A509,231,"SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN"
A510,232,SIFILIS GENITAL PRIMARIA
A511,233,SIFILIS PRIMARIA ANAL
A512,234,SIFILIS PRIMARIA EN OTROS SITIOS
